Timestamp,High,Low,Open,volumefrom,volumeto,Close,conversionType,conversionSymbol,Date
1572134400,9805.42,9114.58,9258.98,64673.13,614726341,9550.6,direct,,10/27/2019
1572220800,9934.71,9201.49,9550.6,54907.49,522287119.7,9222.23,direct,,10/28/2019
1572307200,9565.11,9099.36,9222.23,40284.46,377872980.9,9432.86,direct,,10/29/2019
1572393600,9441.8,9018.3,9432.86,34376.01,315824657.2,9169.86,direct,,10/30/2019
1572480000,9423.16,8972,9169.86,35891.86,329788397.2,9157.52,direct,,10/31/2019
1572566400,9308.62,9072.62,9157.52,27365.39,251360754.5,9260.59,direct,,11/1/2019
1572652800,9400.44,9223.46,9260.59,17135.45,159847329.6,9311.99,direct,,11/2/2019
1572739200,9396.1,9108.22,9311.99,15670.3,144662761,9221.61,direct,,11/3/2019
1572825600,9578.74,9141,9221.61,29435.09,275923701.7,9421.54,direct,,11/4/2019
1572912000,9495.36,9196.64,9421.54,24971.55,233491267.4,9323.61,direct,,11/5/2019
1572998400,9455.53,9269.82,9323.61,22338.76,208985449.5,9347.27,direct,,11/6/2019
1573084800,9382.63,9114.14,9347.27,21322.07,196879610.6,9208.52,direct,,11/7/2019
1573171200,9263.83,8682.74,9208.52,41674.91,371135405,8772.31,direct,,11/8/2019
1573257600,8881.08,8732.62,8772.31,13145.33,116025279.3,8822.19,direct,,11/9/2019
1573344000,9126.98,8767.94,8822.19,18134.09,162649216.9,9045.85,direct,,11/10/2019
1573430400,9084.49,8619.78,9045.85,25750.4,226035620.3,8726.31,direct,,11/11/2019
1573516800,8868.85,8576.09,8726.31,22305.54,194901130.1,8815.14,direct,,11/12/2019
1573603200,8840.33,8721.68,8815.14,15828.57,138900524.5,8773.82,direct,,11/13/2019
1573689600,8811.04,8584.92,8773.82,18999.7,164630654,8640.42,direct,,11/14/2019
1573776000,8773.4,8393.29,8640.42,31281.14,267441968.2,8468.57,direct,,11/15/2019
1573862400,8539.42,8442.03,8468.57,9355.13,79597461.02,8498.94,direct,,11/16/2019
1573948800,8641.12,8411.3,8498.94,14296.75,122271717.7,8515.28,direct,,11/17/2019
1574035200,8537.87,8075.63,8515.28,30048.32,250358969.4,8190.16,direct,,11/18/2019
1574121600,8215.95,8016.54,8190.16,24402.6,198180594.4,8133.57,direct,,11/19/2019
1574208000,8232.23,8047.73,8133.57,18105.11,147086043.4,8093.6,direct,,11/20/2019
1574294400,8133.73,7437.33,8093.6,45760.44,354377783.3,7632.59,direct,,11/21/2019
1574380800,7721.9,6815.03,7632.59,94065.31,680349857.2,7292.2,direct,,11/22/2019
1574467200,7368.18,7119.41,7292.2,25474.86,185099411.4,7339.24,direct,,11/23/2019
1574553600,7364.59,6888.89,7339.24,35108.24,249710266.3,6930.09,direct,,11/24/2019
1574640000,7386.06,6560.13,6930.09,85742.76,596056755.8,7138.23,direct,,11/25/2019
1574726400,7350.44,7042.5,7138.23,36264.64,259675008.7,7170.11,direct,,11/26/2019
1574812800,7681.51,6873.1,7170.11,66406.48,485895588.3,7531.5,direct,,11/27/2019
1574899200,7663.45,7388.79,7531.5,29886.7,225350756.1,7442.33,direct,,11/28/2019
1574985600,7872.17,7425.49,7442.33,37243.54,285280637.6,7769.38,direct,,11/29/2019
1575072000,7821.01,7487.1,7769.38,24778.5,189533166.6,7571.77,direct,,11/30/2019
1575158400,7575.5,7261.95,7571.77,30676.77,226245528.7,7420.53,direct,,12/1/2019
1575244800,7442.62,7193.09,7420.53,25163.31,184009273.4,7320.94,direct,,12/2/2019
1575331200,7420.34,7260.93,7320.94,18521.73,135997337.7,7313.64,direct,,12/3/2019
1575417600,7764.68,7110.76,7313.64,49046.2,360525572.4,7207.78,direct,,12/4/2019
1575504000,7492.96,7175.85,7207.78,30054.36,220875659.8,7406.75,direct,,12/5/2019
1575590400,7607.79,7323.86,7406.75,28169.83,209851296.6,7558.58,direct,,12/6/2019
1575676800,7640.51,7503.1,7558.58,14093.87,106572219.8,7514.86,direct,,12/7/2019
